lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7894625,120.9950546,10.062999725341797,334.48455810546875,0.0,86.939995,25.5,-10.38,-9.467626,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7894752,120.995047,9.956000328063965,332.2252502441406,0.0,59.52,46.379997,8.639999,-53.11223,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7894752,120.995047,9.956000328063965,332.2252502441406,0.0,62.1,38.46,-1.38,-65.80694,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7894752,120.995047,9.956000328063965,332.2252502441406,0.0,82.74,28.92,-9.66,3.17793,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7894752,120.995047,9.956000328063965,332.2252502441406,0.0,77.64,46.68,-1.02,-43.8892,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7894874,120.9950389,9.956999778747559,330.48175048828125,0.0,61.859997,53.76,21.84,-60.26633,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7894874,120.9950389,9.956999778747559,330.48175048828125,0.0,69.18,40.079998,-2.7,-54.272068,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7894874,120.9950389,9.956999778747559,330.48175048828125,0.0,86.1,30.9,-7.5,42.419632,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7895019,120.995031,9.965999603271484,332.27435302734375,0.0,68.22,56.34,16.14,-42.56553,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
24.7895019,120.995031,9.965999603271484,332.27435302734375,0.0,58.379997,52.559998,23.82,-58.45198,25_53,25_10,25_-87,25_2,25_-87,25_-10,25_6,33_57,33_0,33_-83,33_2,33_-83,33_-11,33_0,17,SIDEWALK
