lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, timestamp, label
24.7893965,120.9950152,9.98799991607666,339.3008728027344,0.0,17.039999,28.68,-32.219997,36.031036,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7893965,120.9950152,9.98799991607666,339.3008728027344,0.0,28.26,27.66,-6.6,-93.6051,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7893965,120.9950152,9.98799991607666,339.3008728027344,0.0,28.92,22.14,-15.54,-42.1978,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894085,120.9950074,10.013999938964844,335.8648986816406,0.0,11.88,22.02,-40.2,55.45341,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894215,120.994999,10.022000312805176,332.8955078125,0.0,21.66,33.899998,-18.96,-15.5403385,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894215,120.994999,10.022000312805176,332.8955078125,0.0,29.939999,21.96,-2.34,-116.818695,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894215,120.994999,10.022000312805176,332.8955078125,0.0,23.76,20.039999,-25.92,-11.613773,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894215,120.994999,10.022000312805176,332.8955078125,0.0,10.86,25.74,-39.899998,64.964424,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894351,120.9949907,10.083000183105469,330.83770751953125,0.0,24.9,30.72,-14.639999,-31.541079,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894351,120.9949907,10.083000183105469,330.83770751953125,0.0,29.099998,23.58,-8.28,-55.14316,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894484,120.9949839,10.081000328063965,330.6885986328125,0.0,16.92,24.359999,-33.059998,58.589115,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894484,120.9949839,10.081000328063965,330.6885986328125,0.0,16.02,27.06,-30.72,38.383972,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894484,120.9949839,10.081000328063965,330.6885986328125,0.0,26.16,26.46,-8.88,-68.191795,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894484,120.9949839,10.081000328063965,330.6885986328125,0.0,24.96,22.859999,-15.9,-44.315598,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894614,120.9949775,10.083000183105469,328.1614685058594,0.0,19.14,28.5,-27.96,76.959175,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894614,120.9949775,10.083000183105469,328.1614685058594,0.0,24.06,30.0,-15.54,-0.6525224,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894758,120.9949675,10.175000190734863,324.97686767578125,0.0,28.619999,21.6,-6.06,-85.78212,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894758,120.9949675,10.175000190734863,324.97686767578125,0.0,26.46,22.26,-18.72,-35.809895,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894758,120.9949675,10.175000190734863,324.97686767578125,0.0,17.279999,24.42,-33.239998,84.487,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7894874,120.9949555,10.182000160217285,319.30499267578125,0.0,25.98,28.74,-9.24,-34.831,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7894874,120.9949555,10.182000160217285,319.30499267578125,0.0,29.88,17.34,2.76,-92.857796,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7894956,120.9949408,10.092000007629395,317.30670166015625,0.0,24.359999,22.5,-22.32,27.497381,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7894956,120.9949408,10.092000007629395,317.30670166015625,0.0,12.0,26.939999,-37.2,53.15104,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7894956,120.9949408,10.092000007629395,317.30670166015625,0.0,26.4,27.06,-15.78,-32.24761,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7894956,120.9949408,10.092000007629395,317.30670166015625,0.0,31.8,13.74,-9.24,-74.57154,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7894956,120.9949408,10.092000007629395,317.30670166015625,0.0,22.5,19.8,-31.619999,69.41233,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895041,120.9949272,10.01200008392334,316.74774169921875,0.0,19.68,25.92,-33.0,76.08892,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895129,120.9949167,10.012999534606934,316.2252502441406,0.0,31.679998,24.48,-2.28,-64.3264,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895129,120.9949167,10.012999534606934,316.2252502441406,0.0,34.079998,12.66,-9.48,-78.57968,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895129,120.9949167,10.012999534606934,316.2252502441406,0.0,22.14,17.699999,-35.46,72.71735,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895129,120.9949167,10.012999534606934,316.2252502441406,0.0,23.1,23.64,-31.74,5.175943,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895226,120.9949051,9.918999671936035,315.9053649902344,0.0,34.26,13.679999,-3.54,-175.99225,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895226,120.9949051,9.918999671936035,315.9053649902344,0.0,34.02,7.3799996,-13.38,-72.073654,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895332,120.9948911,9.930000305175781,314.94561767578125,0.0,23.699999,17.16,-32.34,95.9671,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895332,120.9948911,9.930000305175781,314.94561767578125,0.0,32.219997,21.6,-13.92,-34.514935,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.7895332,120.9948911,9.930000305175781,314.94561767578125,0.0,36.36,10.5,0.9,-154.26503,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.789544,120.9948761,9.885000228881836,313.86138916015625,0.0,33.6,9.78,-14.46,-47.283222,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
24.789544,120.9948761,9.885000228881836,313.86138916015625,0.0,26.58,16.859999,-28.619999,71.06176,181_49,181_6,181_-91,181_2,181_-91,181_-15,181_0,15,SIDEWALK
